source,target,relation
The bag,spell,contained
Spell,memories,copied
Citlali,alone,intends to go
Traveler,Citlali,convinces
Ororon,tribesman,approached by
Tribesman,Fatui,told Ororon about
Capitano,Ororon,visits
Capitano,if he knew Citlali,asked Ororon
Capitano,Ororon's lie,senses
Ororon,Capitano,chased
Tarko,Ororon,spotted
Capitano,spell,used
Spell,souls,dispelled
Capitano,subordinates,ordered
Capitano,Mavuika,confronted
Ororon,escaping soul,sensed
Ororon,Capitano,intervened to save
Capitano,looking into Night Kingdom,revealed to Ororon
Ororon,could sense the truth,revealed to Capitano
Capitano,reconstruct Ley Lines,believes
Citlali,Ororon,angered by
Capitano,Ley Lines,intends to rebuild
They,Mavuika,decide to inform
The Rainbow Destined to Burn,Archon Quest,Quest Type
The Rainbow Destined to Burn,Chapter V,Chapter
The Rainbow Destined to Burn,Act IV,Act
The Rainbow Destined to Burn,Beyond the Smoke and Mirrors,Previous
The Rainbow Destined to Burn,All Fires Fuel the Flame,Next
The Rainbow Destined to Burn,Adventure Rank 40,Requirements
Ororon,Bidii,Ancient Name
Bidii,devotion,meaning
Ororon,Sanhaj,identity
Sanhaj,Masters of Night-Wind,affiliation
Yohualtecuhtin,Lord of the Night,title
Angels,Seelies,devolved form
vuika,Fatui,welcomes
Capitano,Source Mechanism,reveals
Capitano,scholars,tracked down
Capitano,Ayizu,met
Ayizu,secret of the Gnosis,revealed
Capitano,Gnosis,failed to acquire
Capitano,Gnosis,intended to use
Abyss,attacks,increase
Traveler,chamber,leave
Lord of the Night,Ancient Name,asks
Xilonen,life,sacrifice
Citlali,Traveler's status,use
Lord of the Night,fate of death,cautions
Lord of the Night,Pilgrim's Chronicle,creates
Traveler and Paimon,rest,wake up
Citlali and Xilonen,parchment,hand
Kachina,Abyss attack,tells
Mavuika,Tumpisto,orders
Abyss,Ororon,sensed
Mavuika,Xilonen and Kachina,sends
Citlali,hot air balloon,uses
Traveler,Abyss attack,repels
Sacred Flame,pylons to appear,causes
Pylons,hilichurls and riftwolves,drop off
Mavuika,rift,subdues
Kinich,rift,investigates
Abyssal invasion,defenders,overwhelms
Traveler,remaining defenders,assists
Chimalli,base lost,declares
Traveler,purple streak,spots
Traveler's attacks,damage,fail to deal
Traveler,battle report,finds
Monsters,Scions of the Canopy,overwhelm
Traveler and Paimon,monsters,slay
Maztl,tumors came from sky-demon,believes
Pylons,defenders,overwhelm
Kachina and Xilonen,monsters,fight
Pacal,full evacuation,orders
Kinich,support team,organizes
Traveler and Paimon,monsters surrounding Chasca and Chuychu,eliminate
Traveler,abyssal energy,siphons and purifies
Chuychu,injuries,succumbs to
Chasca,abyssal energy,emits
Menilek,Chasca's pain,remarks on
Mavuika,Chasca,promises to honor
Mavuika and six heroes,ritual,begin
Archon,Night Warden War,declares
Chasca,Traveler,thanks
Traveler,Chuychu to say her final words,allows
Traveler,Chasca to control her grief,allows
Group,destroy the tumors,sets out
Mavuika's powers,destroying the tumors,assists in
Defenders,Abyss,repel
Kinich,Abyss sending larger units,senses
Abyss,extinguish the Sacred Flame,attempts
Group,defend the stadium,rushes
Mavuika,rift,destroys
Natlanese,joy,express
Mavuika's attack,false sky,exposes
Group,Weary Inn,assembles
Mavuika,Abyss forced deep into Night Kingdom,states
Mavuika,Night Kingdom,will go
Mavuika,grant the fallen a worthy funeral,promises
Xilonen,moment of silence,suggests
Mavuika,Capitano,thanks
Capitano,Natlanese,congratulates
Traveler,Mavuika,speaks with
Mavuika,regret,expresses
Mavuika,Traveler to accompany her,asks
Citlali,Traveler,intercepts
Citlali,Mavuika slated to die,tells
Citlali,circumvent Mavuika's death,asks
Mavuika,her past,reminisces
Mavuika,reasoning for requesting aid,reveals
Traveler,only person to safely join final assault,would be
Mavuika,alone,would go
Mavuika,Traveler to back her up,would love
Paimon,stay behind,has to
Capitano,Lord of the Night,returns
Lord of the Night,how Capitano was aware,wonders
Lord of the Night,final foe,has
Lord of the Night,help,asks for
All Fires Fuel the Flame,Interlude Chapter,Quest Type
All Fires Fuel the Flame,V,Archon
All Fires Fuel the Flame,Interlude,Act
All Fires Fuel the Flame,Incandescent Ode of Resurrection,Previous
All Fires Fuel the Flame,Adventure Rank 40,Requirements
Capitano,Guthred developed medicine,reveals
Guthred,Capitano's second-in-command,was
Guthred,himself as a test subject,used
Capitano,Traveler to ask a question,allows
Traveler,Ronova,asks about
Capitano,his true face,reveals
Ronova,Capitano's suffering,responsible for
Iansan,Traveler about a messenger,informs
Xilonen,creating Traveler's Ancient Name,able to begin
"Mualani, Kinich, Ajaw, Kachina, Citlali, Ororon",Traveler,waiting for
Chasca,Traveler,thanks
Xilonen,process of creating Ancient Name,explains
Paimon,information to Xilonen,provides
Xilonen,chronicle to Traveler,returns
Incandescent Ode of Resurrection,Archon Quest,Quest Type
Incandescent Ode of Resurrection,V,Chapter
Incandescent Ode of Resurrection,V,Act
Incandescent Ode of Resurrection,All Fires Fuel the Flame,Previous
Incandescent Ode of Resurrection,N/A,Next
Incandescent Ode of Resurrection,Adventure Rank 40,Requirements
Traveler,Ayo,finds
Ayo,despondent,is
Traveler,medicine,administers
Kachina,invitation,offers
Traveler and Paimon,Xilonen's workshop,go to
Xilonen,Ancient Name,creates
Xilonen,Tumaini,names
Citlali,Traveler and Mavuika,worries about
Traveler,test,conducts
Traveler's soul,souls,attracts
Group,save souls,decides to
Citlali,Vichama to Night Kingdom,sends
Xilonen,Zumalli,kills
Traveler,Ancient Name,reveals
Mavuika,herself and Traveler,teleports
Mavuika,go to lair,tells Traveler to
Traveler,Cryo-aligned herald,defeats
Hine,support Mavuika,promises to
Atea,Traveler,assists
Mallko and Vichama,barrier,maintain
Traveler,"Brous Mimesis, Bona, and Cocouik",assisted by
Traveler and allies,stronger mimesis,encounter
Guthred,mimesis,helps defeat
Spirits,due to Ley Lines,reach their limit
Chuychu,iktomisaurus and qucusaur,gives
Traveler,circular arena,arrives at
Heroes of 500 years ago,Traveler,bless
Yohualtecuhtin,seelies,sends
Seelies,Traveler to Mavuika,guide
Traveler,Gosoythoth,fights
Gosoythoth,sword-wielding dragon,transforms into
Lord of the Night,Pyro power to Traveler,grants
Gosoythoth,Traveler,attempts to control
Void,Mavuika,attempts to sow doubt in
Mavuika and Traveler,Gosoythoth,destroy
Mavuika,celebration ceremony,holds
Chasca,feathered crown on Traveler,bestows
Citlali,Traveler about Mavuika's fate,informs
Traveler and Citlali,Ochkanatlan,travel to
Ronova,Mavuika's death,demands
Mavuika,her life to Sacred Flame,offers
Ororon,Capitano,arrives with
Capitano,his modified heart,reveals
Capitano,Lord of the Night,merges with
Lord of the Night,Night Kingdom,returns to
Mavuika,Hine,writes letter to
Traveler,crown at monument,leaves
Sadigua,Traveler's deeds,tells story about
Traveler and Paimon,Natlan,leave
Traveler and Paimon,Mavuika,ask
Mavuika,Capitano requested Tsaritsa to abolish his mission,reveals
Capitano,Tsaritsa to abolish his mission,requested
Tsaritsa,Capitano's request,granted
Mavuika,another Harbinger will steal Pyro Gnosis,worries
Mavuika,worst-case scenario,prepare
Mavuika,Traveler should go to Nod-Krai,suggests
Traveler,Nod-Krai,should go
Snezhnaya,conflict,has
Mavuika,Dottore's men snooping around in Natlan,seen
Mavuika,Traveler about Dottore's plans,warns
Dottore,people who can control all elements without a Vision,wants
Dottore's men,Teyvat's false sky,investigating
Chapter VI,Archon Quest,Quest Type
Chapter VI,Chapter V,Previous
Chapter VI,Chapter ???,Next
Snezhnaya,Chapter VI,setting for
Tsaritsa,her people,no love for
Tsaritsa's followers,rebellion against Celestia,hope to be on her side
Chapter ??,Archon Quest,Quest Type
Chapter ??,Chapter VI,Previous
Chapter ??,Epilogue,Next
Chapter ??,Khaenri'ah,focus
Khaenri'ah,outside of Teyvat,location
